,weather_key,Game Date,City,Temperature,Weather,Code
263,Arlington-42730,12/26/2016,Arlington,68,Cloudy,119
264,Houston-42260,9/13/2015,Houston,82,Clear,113
265,Houston-42274,9/27/2015,Houston,84,Patchy rain possible,176
266,Houston-42285,10/8/2015,Houston,89,Overcast,122
267,Houston-42309,11/1/2015,Houston,77,Mist,143
268,Houston-42330,11/22/2015,Houston,53,Clear,113
269,Houston-42337,11/29/2015,Houston,50,Overcast,122
270,Houston-42351,12/13/2015,Houston,63,Clear,113
271,Houston-42372,1/3/2016,Houston,55,Clear,113
272,Houston-42624,9/11/2016,Houston,90,Light rain shower,353
273,Houston-42631,9/18/2016,Houston,99,Partly cloudy,116
274,Houston-42645,10/2/2016,Houston,83,Cloudy,119
275,Houston-42659,10/16/2016,Houston,91,Clear,113
276,Houston-42673,10/30/2016,Houston,90,Clear,113
277,Houston-42701,11/27/2016,Houston,71,Clear,113
278,Houston-42722,12/18/2016,Houston,30,Overcast,122
279,Houston-42728,12/24/2016,Houston,77,Overcast,122
280,Green Bay-42267,9/20/2015,Green Bay,67,Clear,113
281,Green Bay-42275,9/28/2015,Green Bay,77,Moderate or heavy rain shower,356
282,Green Bay-42288,10/11/2015,Green Bay,69,Clear,113
283,Green Bay-42295,10/18/2015,Green Bay,46,Clear,113
284,Green Bay-42323,11/15/2015,Green Bay,49,Clear,113
285,Green Bay-42334,11/26/2015,Green Bay,33,Light rain,296
286,Green Bay-42351,12/13/2015,Green Bay,47,Heavy rain,308
287,Green Bay-42372,1/3/2016,Green Bay,19,Overcast,122
288,Green Bay-42638,9/25/2016,Green Bay,68,Light rain shower,353
289,Green Bay-42652,10/9/2016,Green Bay,54,Clear,113
290,Green Bay-42659,10/16/2016,Green Bay,63,Overcast,122
291,Green Bay-42663,10/20/2016,Green Bay,48,Clear,113
292,Green Bay-42680,11/6/2016,Green Bay,60,Clear,113
293,Green Bay-42708,12/4/2016,Green Bay,27,Moderate snow,332
294,Green Bay-42715,12/11/2016,Green Bay,25,Light snow,326
295,Green Bay-42728,12/24/2016,Green Bay,29,Fog,248
